2009,4,13,4-13,4-13,II,1,15,b,,,,VALEA VALCELE,10,KM,39.3,DA,BN,REBRA MARE,,24,31,31.7,47,22,47.8,1964,,,,1,2,39.30,1.0,1.5,0.2,M,M,M,0,0%,0%,5,20%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,5,10%,5,10%,1,0.0,0.0,0.0,0%,0,0.0,0,0.0,0%,0%,0%,0,0%,20%,80%,0%,NU,,,,,DA,UZ,A1,,,,RI,,,,,4,5,93.9
2009,4,15,4-15,4-15,II,1,15,a,,,,VALEA JGHEABUL URSULUI,10,KM,21.5,DA,BN,PARVA,,24,32,28.7,47,23,12.5,1964,,,,1,0,21.50,1.0,2.0,0.2,M,M,M,0,0%,0%,5,1%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,2,2%,0,0%,1,0.0,0.0,0.0,0%,0,0.0,0,0.0,0%,0%,0%,0,0%,50%,30%,20%,,,,,,DA,UZ,,,,,RI,AL,,,,4,4,98.7
2009,5,4,5-4,5-4,II,1,24,4,2,a,a,PARAUL CORNU,10,KP,33.4,DA,BN,COLIBITA,,25,1,45.6,47,10,54.1,1992,,,,1,2,33.40,0.7,2.0,0.5,PG,PG,B,0,0%,20%,10,60%,0,0.0,0,0.0,0,0.0,0,0.0,40%,40%,5,60%,5,50%,1,0.0,0.0,0.0,0%,0,0.0,0,0.0,0%,0%,0%,5,100%,40%,70%,0%,DA,DA,DA,DA,,DA,E1,E5,,,,RI,,,,,3,4,54.3
,5,4,5-4,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,2,0.0,0.0,0.0,0%,0,0.0,0,0.0,0%,0%,0%,5,100%,,,,,,,,,,,,,,,,,,,,,,
2009,9,1,9-1,9-1,II,1,27,a,,,,VALEA SITA,10,KM,100.0,DA,BN,SPERMEZEU,,24,9,54.8,47,18,31.1,1966,,,,1,0,10.00,1.1,5.0,1.0,M,M,M,0,0%,0%,15,30%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,5,10%,0,0%,1,0.0,0.0,2.0,100%,0,0.0,0,0.0,5%,20%,10%,0,0%,80%,90%,0%,DA,,,,,DA,E1,UZ,,,,UZ,RI,,,,4,5,60.9
,9,1,9-1,,,,,,,,,,,, ,,,,,,,,,,,,,,,2,0,7.00,1.3,4.0,0.5,M,M,,0,0%,0%,15,30%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,5,10%,0,0%,,,,,,,,,,,,,,,80%,90%,0%,,,,,,,,,,,,,,,,,,,
,9,1,9-1,,,,,,,,,,,, ,,,,,,,,,,,,,,,3,0,83.00,1.3,3.0,0.5,M,M,,0,0%,0%,15,30%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,5,5%,0,0%,,,,,,,,,,,,,,,70%,90%,0%,,,,,,,,,,,,,,,,,,,
2009,11,11,11-11,11-11,II,1,31,9,3,,,PARAUL NEGRUTA,61,KB,25.0,DA,CJ,MAGURI RACATAU,,23,10,37.1,46,37,17.2,1983,,,,1,0,25.00,1.2,6.0,0.5,M,B,,0,0%,0%,0,0%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,0,0%,5,10%,,,,,,,,,,,,,,,10%,80%,0%,DA,DA,,,,DA,E1,RI,,,,E1,RI,,,,4,5,97.7
2009,11,17,11-17,11-17,II,1,31,9,3,,,PARAUL NEGRUTA,110,KPR,119.0,DA,CJ,MAGURI RACATAU,,23,10,31.1,46,37,11.0,1983,,,,1,0,30.00,2.0,6.0,0.2,M,B,M,0,0%,0%,10,20%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,0,0%,0,0%,1,0.0,0.0,0.4,100%,0,0.0,0,0.0,100%,0%,0%,0,0%,10%,40%,0%,DA,DA,,,,DA,E1,E4,A1,,,A1,VE,RI,,,2,4,43.3
,11,17,11-17,,,,,,,,,,,, ,,,,,,,,,,,,,,,2,0,89.00,2.0,6.0,0.2,M,PP,,0,0%,80%,0,0%,0,0.0,0,0.0,0,0.0,0,0.0,0%,10%,0,0%,0,0%,,,,,,,,,,,,,,,30%,90%,0%,DA,DA,,,,,,,,,,,,,,,,,
2009,12,29,12-29,12-29,II,1,31,9,a,,,PARAUL CAPRITA,300,KB,37.0,DA,CJ,MAGURI RACATAU,,23,14,43.8,46,39,19.5,1985,,,,1,1,37.00,2.0,4.0,0.0,B,B,B,0,0%,0%,30,80%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,25,40%,10,30%,1,0.0,0.0,0.4,100%,0,0.0,0,0.0,0%,0%,0%,0,0%,10%,15%,0%,DA,DA,DA,,,DA,E1,E4,E5,,,VE,RI,,,,2,4,69
2009,13,1,13-1,13-1,II,1,31,9,b,,,PARAUL DUDAIE,10,KM,15.0,DA,CJ,GILAU,,23,17,44.1,46,41,19.8,1987,,,,1,0,15.00,1.2,5.0,0.2,M,M,,0,0%,0%,30,40%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,5,10%,5,10%,,,,,,,,,,,,,,,15%,70%,0%,,,,,,DA,RI,,,,,RI,,,,,3,5,82.1
2009,13,11,13-11,13-11,II,1,31,9,b,,,PARAUL DUDAIE,101,KM,34.0,DA,CJ,GILAU,,23,17,28.5,46,41,6.3,1987,,,,1,0,7.00,2.5,4.0,0.2,M,M,M,0,0%,0%,0,0%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,0,0%,0,0%,2,0.0,0.0,0.3,70%,0,0.0,0,0.0,0%,0%,50%,0,0%,0%,0%,0%,DA,DA,DA,DA,,DA,E1,E5,RI,,,RI,,,,,3,5,56.3
,13,11,13-11,,,,,,,,,,,, ,,,,,,,,,,,,,,,2,0,13.00,3.0,4.0,0.2,M,M,M,0,0%,30%,20,50%,0,0.0,0,0.0,0,0.0,0,0.0,30%,0%,0,0%,0,0%,1,0.0,0.0,0.0,0%,0,0.0,0,0.0,0%,0%,0%,0,0%,20%,90%,0%,,,,,,,,,,,,,,,,,,,
,13,11,13-11,,,,,,,,,,,, ,,,,,,,,,,,,,,,3,2,14.00,1.5,2.5,0.2,M,M,,0,0%,40%,20,30%,0,0.0,0,0.0,0,0.0,0,0.0,0%,0%,0,0%,0,0%,,,,,,,,,,,,,,,0%,0%,0%,,,,,,,,,,,,,,,,,,,
